,V1,V2
1212,288,288
1213,288,4483
1214,288,3567
1215,289,289
1216,289,2722
1217,290,290
1218,291,291
1219,291,2153
1220,291,900
1221,291,3316
1222,292,292
1223,292,4630
1224,292,4523
1225,292,2601
1226,293,293
1227,293,2710
1228,293,2367
1229,293,1801
1230,293,1867
1231,293,2273
1232,293,484
1233,293,3741
1234,293,1945
1235,294,294
1236,294,2296
1237,294,3587
1238,294,2280
1239,295,295
1240,295,1504
1241,296,296
1242,296,1813
1243,296,283
1244,296,3974
1245,296,670
1246,296,481
1247,297,297
1248,298,298
1249,298,585
1250,298,4012
1251,298,3631
1252,298,4159
1253,299,299
1254,299,38
1255,299,829
1256,299,15
1257,300,300
1258,300,4290
1259,301,301
1260,301,4404
1261,301,4212
1262,302,302
1263,302,832
1264,302,725
1265,302,4497
1266,303,303
1267,303,4616
1268,303,806
1269,304,304
1270,304,3161
1271,304,1916
1272,305,305
1273,306,306
1274,307,307
1275,307,3721
1276,307,484
1277,307,4153
1278,307,3357
1279,307,3507
1280,308,308
1281,308,1637
1282,308,3313
1283,308,705
1284,308,1830
1285,308,1023
1286,308,490
1287,308,4357
1288,309,309
1289,309,3515
1290,310,310
1291,310,3517
1292,310,3219
1293,311,311
1294,312,312
1295,312,4394
1296,312,4563
1297,312,3947
1298,312,2899
1299,313,313
1300,313,329
1301,313,974
1302,313,1784
1303,313,985
1304,313,3806
1305,313,2575
1306,313,1832
1307,313,2812
1308,314,314
1309,314,4275
1310,314,3800
1311,315,315
1312,315,4605
1313,315,945
1314,315,2203
1315,315,1730
1316,315,1781
1317,315,2615
1318,316,316
1319,316,1071
1320,317,317
1321,318,318
1322,318,4203
1323,318,817
1324,318,814
1325,318,2870
1326,318,1816
1327,318,3730
1328,319,319
1329,320,320
1330,320,1420
1331,320,2294
1332,320,3359
1333,321,321
1334,321,2083
1335,322,322
1336,322,3773
1337,323,323
1338,323,4054
1339,323,775
1340,324,324
1341,324,2886
1342,325,325
1343,325,1949
1344,325,1430
1345,325,4155
1346,326,326
